corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
nkurd	muserz02	0001	#	#	#	#				
nkurd	muserz02	0001	Îja	that.time	other	other				
nkurd	muserz02	0001	damarya	stepmother.of	np.h:s	np	h	s		
nkurd	muserz02	0001	qîzkê	girl	rn_np.h:poss	rn_np	h	poss		
nkurd	muserz02	0001	hebûye	existed	other:predex	other		predex		
nkurd	muserz02	0002	#	#	##	##				
nkurd	muserz02	0002	navê	name.of	np:s	np		s		
nkurd	muserz02	0002	qîzkê	girl.of	rn_np.h:poss	rn_np	h	poss		
nkurd	muserz02	0002	Fatik	Fatik	pn_np:pred	pn_np		pred		
nkurd	muserz02	0002	bûye	was	cop	cop				
nkurd	muserz02	0003	#	#	##	##				
nkurd	muserz02	0003	navê	name.of	np:s	np		s		
nkurd	muserz02	0003	qîza	girl.of	rn_np.h:poss	rn_np	h	poss		
nkurd	muserz02	0003	damarya	stepmother.of	rn_np.h:poss	rn_np	h	poss		
nkurd	muserz02	0003	wê	her	rn_pro.h:poss	rn_pro	h	poss		
nkurd	muserz02	0003	jî	also	other	other				
nkurd	muserz02	0003	Eyšik	Eyšik	pn_np:pred	pn_np		pred		
nkurd	muserz02	0003	bûye	was	cop	cop				
nkurd	muserz02	0004	#	#	##	##				
nkurd	muserz02	0004	Îja	that.time	other	other				
nkurd	muserz02	0004	daîme	always	other	other				
nkurd	muserz02	0004	0	0_she	0.h:s	0	h	s		
nkurd	muserz02	0004	çûne	went	v:pred	v		pred		
nkurd	muserz02	0004	ber	to.front	adp	adp				
nkurd	muserz02	0004	dewar	cattle	np:g	np		g		
nkurd	muserz02	0004	bi	with	adp	adp				
nkurd	muserz02	0004	hev	each.other	refl.h:obl	refl	h	obl		
nkurd	muserz02	0004	ra	POP	pop_adp	pop_adp				
nkurd	muserz02	0005	#	#	##	##				
nkurd	muserz02	0005	Çêleka	cow.of	np:a	np		a		
nkurd	muserz02	0005	diya	mother.of	rn_np.h:poss	rn_np	h	poss		
nkurd	muserz02	0005	Fatikê	Fatikê	rn_pn_np.h:poss	rn_pn_np	h	poss		
nkurd	muserz02	0005	daîme	always	other	other				
nkurd	muserz02	0005	li	at	adp	adp				
nkurd	muserz02	0005	dewar	cattle	np:p	np		p		
nkurd	muserz02	0005	xistîye	struck	v:pred	v		pred		
nkurd	muserz02	0005	#	#	#neg	#neg				
nkurd	muserz02	0005	0	0_it	0:a	0		a		
nkurd	muserz02	0005	nehîštîye	not.let	v:pred	v		pred		
nkurd	muserz02	0005	#	#	#cc:p	#cc		p		
nkurd	muserz02	0005	Eyšik	Eyšik	pn_np.h:s	pn_np	h	s		
nkurd	muserz02	0005	rûnê	sit.down	v:pred	v		pred		
nkurd	muserz02	0006	#	#	##	##				
nkurd	muserz02	0006	Fatik	Fatik	pn_np.h:a	pn_np	h	a		
nkurd	muserz02	0006	jî	also	other	other				
nkurd	muserz02	0006	tešîya	spindle.of	np:p	np		p		
nkurd	muserz02	0006	xwe	self	rn_refl.h:poss	rn_refl	h	poss		
nkurd	muserz02	0006	dibe	takes	v:pred	v		pred		
nkurd	muserz02	0006	#	#	#	#				
nkurd	muserz02	0006	0	0_she	0.h:a	0	h	a		
nkurd	muserz02	0006	0	0_it	0:p	0		p		
nkurd	muserz02	0006	dirêse	spins	v:pred	v		pred		
nkurd	muserz02	0006	#	#	#	#				
nkurd	muserz02	0006	0	0_she	0.h:a	0	h	a		
nkurd	muserz02	0006	0	0_it	0:p	0		p		
nkurd	muserz02	0006	bar	carrying	other:lvc	other		lvc		
nkurd	muserz02	0006	dike	does	v:pred	v		pred		
nkurd	muserz02	0007	#	#	##	##				
nkurd	muserz02	0007	Êvarê	evening	other	other				
nkurd	muserz02	0007	0	0_she	0.h:s	0	h	s		
nkurd	muserz02	0007	tê	comes	v:pred	v		pred		
nkurd	muserz02	0007	#	#	#	#				
nkurd	muserz02	0007	0	0_she	0.h:a	0	h	a		
nkurd	muserz02	0007	wî	that	ln_dem	ln_dem				
nkurd	muserz02	0007	giloka	wool.ball.of	np:p	np		p		
nkurd	muserz02	0007	xwe	self	rn_refl.h:poss	rn_refl	h	poss		
nkurd	muserz02	0007	tîne	takes	v:pred	v		pred		
nkurd	muserz02	0007	#	#	#	#				
nkurd	muserz02	0007	0	0_she	0.h:a	0	h	a		
nkurd	muserz02	0007	0	0_it	0:p	0		p		
nkurd	muserz02	0007	dide	gives	v:pred	v		pred		
nkurd	muserz02	0007	damarya	stepmother.of	np.h:g	np	h	g		
nkurd	muserz02	0007	xwe	self	rn_refl.h:poss	rn_refl	h	poss		
nkurd	muserz02	0008	#	#	##	##				
nkurd	muserz02	0008	Îja	that.time	other	other				
nkurd	muserz02	0008	damarî	stepmother	np.h:a	np	h	a		
nkurd	muserz02	0008	li	at	adp	adp				
nkurd	muserz02	0008	qîza	girl.of	np.h:p	np	h	p		
nkurd	muserz02	0008	xwe	self	rn_refl.h:poss	rn_refl	h	poss		
nkurd	muserz02	0008	dixe	strikes	v:pred	v		pred		
nkurd	muserz02	0008	#	#	#	#				
nkurd	muserz02	0008	0	0_she	0.h:s_ds	0	h	s_ds		
nkurd	muserz02	0008	dibê	says	ds_v:pred	ds_v		pred		
nkurd	muserz02	0008	#	#	#ds	#ds				
nkurd	muserz02	0008	Çima	how	other	other				
nkurd	muserz02	0008	ew	she	pro.h:s	pro	h	s		
nkurd	muserz02	0008	êtim	orphan	np.h:pred	np	h	pred		
nkurd	muserz02	0008	e	is	cop	cop				
nkurd	muserz02	0008	#	#	#ds	#ds				
nkurd	muserz02	0008	ew	she	pro.h:s	pro	h	s		
nkurd	muserz02	0008	tere	goes	v:pred	v		pred		
nkurd	muserz02	0008	ber	front.of	adp	adp				
nkurd	muserz02	0008	dewar	cattle	np:g	np		g		
nkurd	muserz02	0008	#	#	#ds	#ds				
nkurd	muserz02	0008	ew	she	pro.h:a	pro	h	a		
nkurd	muserz02	0008	royê	in.day	np:other	np		other		
nkurd	muserz02	0008	tešîya	spindle.of	np:p	np		p		
nkurd	muserz02	0008	xwe	self	rn_refl.h:poss	rn_refl	h	poss		
nkurd	muserz02	0008	aqasa	that.much	other	other				
nkurd	muserz02	0008	dirêse	spins	v:pred	v		pred		
nkurd	muserz02	0009	#	#	#nc	#nc				
nkurd	muserz02	0009	Çima	how	nc	nc				
nkurd	muserz02	0009	tu	you	nc	nc				
nkurd	muserz02	0009	jî	also	nc	nc				
nkurd	muserz02	0009	#	#	#	#				
nkurd	muserz02	0009	0	0_she	0.h:s_ds	0	h	s_ds		
nkurd	muserz02	0009	dibê	says	ds_v:pred	ds_v		pred		
nkurd	muserz02	0009	#	#	#ds	#ds				
nkurd	muserz02	0009	dewar	cattle	np:s	np		s		
