ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
muserz01_0001,mcnkurd,Harûnê Rešît pašayê Ereba bûye.,#	Harûn-ê Rešît	paša-yê	Ereb-a	bû-ye,#	Harûnê_Rešît	pasha-EZ	Arab-PL.OBL	COP.PST-PRF.3SG,Harûnê Resît was the Pasha of the Arabs.,en,WORD_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,0,3390,##	pn_np.h:s	np.h:pred	rn_np.h:poss	cop,,muserz01,∅	1001	∅	∅	∅,∅	1001	∅	∅	∅,∅	new	∅	∅	∅
muserz01_0002,mcnkurd,Merifekî di dinyayê da pir zengîn bûye.,#	merif-ek-î	di	dinya-yê	da	#	0	pir	zengîn	bû-ye,#	person-INDF-EZ	ADP	world-OBL	POP	#	0_he	very	rich	COP.PST-PRF.3SG,"A man of the world, very wealthy.",en,MORPHEME_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,3390,7211,#nc	nc_np.h	nc	nc	nc	#	0.h:s	other	other:pred	cop,,muserz01,∅	1001	∅	∅	∅	∅	1001	∅	∅	∅,∅	1001	∅	∅	∅	∅	1001	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
muserz01_0003,mcnkurd,"Kurekî wî hebûye, navê kurê wî Mihemed bûye.",#	kur-ek-î	wî	hebû-ye	#	nav-ê	kur-ê	wî	Mihemed	bû-ye,#	son-INDF-EZ	3SG.OBL	exist.PST-PRF.3SG	#	name-EZ	son-EZ	3SG-OBL	Mihemed	COP.PST-PRF.3SG,"He had a son, whose name was Mihemed.",en,WORD_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,7211,10360,##	np.h:s	rn_pro.h:poss	other:predex	#	np:s	rn_np.h:poss	rn_pro.h:poss	pn_np.h:pred	cop,,muserz01,∅	1002	1001	∅	∅	1101	1002	1001	∅	∅,∅	1002	1001	∅	∅	1101	1002	1001	∅	∅,∅	bridging	∅	∅	∅	bridging	∅	∅	∅	∅
muserz01_0004,mcnkurd,"Mihemed, emrê wî tê pencî salî.",#	Mihemed	emr-ê	wî	tê	pencî	salî,#	Mihemed	life-EZ	3SG.OBL	IND.come.PRS.3SG	50	yeared,"As for Mihemed, he was 50 years old.",en,MORPHEME_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,10360,14001,##	pn_np.h:dt	np:s	rn_pro.h:poss	v:pred	other	other,,muserz01,∅	1002	1102	1002	∅	∅	∅,∅	1002	1102	1002	∅	∅	∅,∅	∅	bridging	∅	∅	∅	∅
muserz01_0005,mcnkurd,"Qedera vî venebûye, ne zewicîye.",#	qeder-a	vî	venebû-ye	#	0	ne	zewicî	=ye,#	destiny-EZ	3SG.OBL	open.PST-NEG-PRF.3SG	#	0_he	not	married	=COP.3SG,"His destiny had not been fulfilled, he was not married.",en,WORD_ALIGNED,"The expression qeder vebûn, lit. 'destiny open/unfold' is a key motif of this story. It is rooted in the belief that a person's fate is preordained.",muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,14001,18366,##neg	np:s	rn_pro.h:poss	v:pred	#neg	0.h:s	lv_other	other:pred	=cop,,muserz01,∅	1009	1002	∅	∅	1002	∅	∅	∅,∅	1009	1002	∅	∅	1002	∅	∅	∅,∅	bridging	∅	∅	∅	∅	∅	∅	∅
muserz01_0006,mcnkurd,Êdî çaresîz dimîne.,#	0	Êdî	çaresîz	di-mîn-e,#	0_he	now	without_remedy	IND-stay.PRS-3SG,And now he sees no solution (for this state of affairs).,en,MORPHEME_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,18370,20560,##	0.h:s	other	other	v:pred,,muserz01,∅	1002	∅	∅	∅,∅	1002	∅	∅	∅,∅	∅	∅	∅	∅
muserz01_0007,mcnkurd,"Radibe tere cem ewê ku ilmê minecîmî dixwînin, ji wan ra dibe minecîm.",#	0	radib-e	#	0	ter-e	cem	ew-ê	#	ku	0	ilm-ê	minecîm-î	di-xwîn-in	#	ji	wan	ra	di-bê	minecîm,#	0_he	set_out.IND.PRS-3SG	#	0_he	IND.go.PRS-3SG	to	those-EZ	#	that	0	knowledge-EZ	astrology-OBL	IND-read.PRS-PL	#	NC	NC	NC	NC	NC,"He went to those who draw on the knowledge of astrology, they are called minecîm (from the Arabic word for astrologer, also used in Turkish).",en,WORD_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,20560,27408,##	0.h:s	v:pred	#	0.h:s	v:pred	adp	pro.h:g	#rc	other	f0:a	np:p	rn_np:poss	v:pred	#nc	nc	nc	nc	nc	nc,,muserz01,∅	1002	∅	∅	1002	∅	∅	1003	∅	∅	1003	1103	∅	∅	∅	∅	∅	∅	∅	∅,∅	1002	∅	∅	1002	∅	∅	1003	∅	∅	1003	1103	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅
muserz01_0008,mcnkurd,"Ewana fal davêjin, remil davêjin, fala vedikin,",#	ewana	fal	davêj-in	#	0	remil	davêj-in	#	0	fal-a	vedik-in,#	3PL	fortune	IND.throw.PRS-3PL	#	0_they	dice	IND.throw.PRS-3PL	#	0_they	fortune-PL.OBL	IND.open.PRS-3PL,"They tell fortunes (by throwing special dice), they reveal (one's) fate,",en,MORPHEME_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,27408,32880,##	pro.h:a	np:p	v:pred	#	0.h:a	np:p	v:pred	#	0.h:a	np:p	v:pred,,muserz01,∅	1003	1138	∅	∅	1003	1139	∅	∅	1003	1138	∅,∅	1003	1138	∅	∅	1003	1139	∅	∅	1003	1138	∅,∅	∅	new	∅	∅	∅	new	∅	∅	∅	∅	∅
muserz01_0009,mcnkurd,"ji qedera însana, ji rizqê însana dikarin xeber bidin.",#	0	ji	qeder-a	însan-a	ji	rizq-ê	însan-a	di-kar-in	xeber	bi-d-in,#	0_they	of	destiny-EZ	people-PL.OBL	of	fate-EZ	people-PL.OBL	IND-can.PRS-3PL	news	SUBJ-give.PRS-3PL,"they can tell of people's destiny, of their rewards.",en,MORPHEME_ALIGNED,,muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,32880,38010,##	0.h:a	adp	np:obl	rn_np.h:poss	adp	np:obl	rn_np.h:poss	=aux	np:p	v:pred,,muserz01,∅	1003	∅	1140	1141	∅	1140	1141	∅	∅	∅,∅	1003	∅	1140	1141	∅	1140	1141	∅	∅	∅,∅	∅	∅	bridging	bridging	∅	∅	∅	∅	∅	∅
muserz01_0010,mcnkurd,"Dibê: ""Ezê herim cem wan remildaran, cem wan sihîrçîyan",#	0	di-bê	#	ez	=ê	her-im	cem	wan	remildar-an	cem	wan	sihîrçî-yan,#	0_he	IND-say.PRS.3SG	#	1SG	=FUT	SUBJ.go.PRS-1SG	to	3PL.OBL	fortune_teller-PL.OBL	to	3PL.OBL	magician-PL.OBL,"(He) says: ""I will go to those fortune-tellers, those sorcerers,",en,MORPHEME_ALIGNED,"sihîrçîyan: from Tu. sihir 'magic, sorcery'.",muserz01_mp3 muserz01_wav muserz01_eaf muserz01_xml muserz01_tsv,,38015,44087,##	0.h:s_ds	ds_v:pred	#ds	pro.1:s	=aux	v:pred	adp	ln_dem	np.h:g	adp	ln_dem	np.h:g,,muserz01,∅	1002	∅	∅	1002	∅	∅	∅	∅	1003	∅	∅	1003,∅	1002	∅	∅	1002	∅	∅	∅	∅	1003	∅	∅	1003,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
